album,artist,genre,song_name,playback_device
Lady Wood,Tove Lo,Electropop,Cool Girl,TV
Crazy,Ornette,Pop,Crazy,
Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,
Essentials,Major Lazer,Moombahton,Light It Up,
Avril Lavigne,Avril Lavigne,Pop,Let Me Go,
Expectations,Hayley Kiyoko,Pop,Sleepover,bedroom speaker
Beautiful World,Connie Talbot,Pop,Count On Me,
Pain Killer,Little Big Town,Country,Girl Crush,kitchen speaker
My Everything,Ariana Grande,Pop,Best Mistake,kitchen speaker
Chapters,Yuna,Pop,Crush,
Pink Elephant,Russell Vitale,Pop,Goodbye,
Prequelle,Ghost,Metal,Rats,
You Get What You Give,Zac Brown Band,Country,Knee Deep,kitchen speaker
Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,bedroom speaker
Summer House,Concorde,Pop,Just Kiss Her,
Play Me Again,Kid Francescoli,Pop,Moon,
Summer House,Concorde,Pop,Just Kiss Her,TV
Sinner,Aaron Lewis,Country,Lost And Lonely,
No Roots,Alice Merton,Pop,No Roots,
Center Point Road,Thomas Rhett,Country,Look What God Gave Her,TV
Built On Glass,Nick Murphy,Electronica,Gold,kitchen speaker
Experiment,Kane Brown,Country,Weekend,bedroom speaker
King Of The Dancehall,Vybz Kartel,Reggae,Colouring This Life,bedroom speaker
For You,Selena Gomez,Pop,The Heart Wants What It Wants,
It Goes Like This,Thomas Rhett,Country,It Goes Like This,
Texoma Shore,Blake Shelton,Country,I Lived It,bedroom speaker
A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,bedroom speaker
Where We Come From,Popcaan,Reggae,Addicted,bedroom speaker
The New Classic,Iggy Azalea,Pop,Change Your Life,kitchen speaker
To Whom It May Concern,Blacklite District,Rock,The Struggle,
To Whom It May Concern,Blacklite District,Rock,Them Days,
To Whom It May Concern,Blacklite District,Rock,The Struggle,bedroom speaker
Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,
Hat Nhan,Phan Dinh Tung,Pop,Khuc Hat Mung Sinh Nhat,
Ready,Ruel,Pop,Younger,bedroom speaker
Seventh Heaven,Ryutaro Nakahara,Anime,Din Don Dan,
Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,kitchen speaker
Welcome Reality,Nero,Dubstep,Promises,bedroom speaker
Jade Eagleson,Jade Eagleson,Country,Got Your Name On It,
Just Gonna Send It,Katie Noel,Country,Diesel Gang,
Kane Brown,Kane Brown,Country,What Ifs,
Love Yourself,Justin Bieber,Pop,Love Yourself,
Journals,Justin Bieber,Pop,All That Matters,TV
Bigger,Sugarland,Country,Babe,bedroom speaker
Meliora,Ghost,Rock,He Is,bedroom speaker
Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,
Kamayanbaghi,Hoba Hoba Spirit,Rock,Mchat,TV
Contraband,Madcon,Pop,Glow,
The Good Parts,Andy Grammer,Pop,Fresh Eyes,
Genesis,Mark Petrie,Classical,Kara Kul,bedroom speaker
Forever,Popcaan,Reggae,Wine For Me,bedroom speaker
Nick Jonas,Nick Jonas,Pop,Chains,
Reminiscence,Mattia Cupelli,Soundtracks,Love Lost,bedroom speaker
Meliora,Ghost,Metal,Cirice,TV
The Tattva Trip,Suraj Mani,Rock,The Tattva Trip,
My Everything,Ariana Grande,Pop,One Last Time,kitchen speaker
The First Time,Kelsea Ballerini,Pop,Yeah Boy,
Brett Eldredge,Brett Eldredge,Country,Love Someone,
Anchor,Mindy Gledhill,Pop,I Do Adore,
Dedicated,Carly Rae Jepsen,Pop,Now That I Found You,kitchen speaker
Undefined,Simply Three,Rock,Rain,TV
Night Visions,Imagine Dragons,Rock,Radioactive,TV
Visions,Grimes,Electropop,Oblivion,kitchen speaker
Illuminate,Shawn Mendes,Pop,Mercy,kitchen speaker
Voicenotes,Charlie Puth,Pop,The Way I Am,bedroom speaker
If I Know Me,Morgan Wallen,Country,The Way I Talk,
Loud,Rihanna,Pop,California King Bed,bedroom speaker
California Sunrise,Jon Pardi,Country,Head Over Boots,bedroom speaker
The New Classic,Iggy Azalea,Pop,Black Widow,TV
Pentatonix,Pentatonix,Pop,Cheerleader,
Cloud Nine,Kygo,Downtempo,Raging,bedroom speaker
Random Access Memories,Daft Punk,Punk,Get Lucky,TV
Euphoria,Enrique Iglesias,Pop,I Like It,
Adobe Sessions,Cody Jinks,Country,Cast No Stones,bedroom speaker
The Gaza Don,Vybz Kartel,Dancehall,Summer Time,TV
Ultraviolence,Lana Del Rey,Rock,Ultraviolence,
Stories,Avicii,Pop,Broken Arrows,
Ultraviolence,Lana Del Rey,Rock,Pretty When You Cry,
Strange Pleasures,Still Corners,Electropop,The Trip,
Sunset Season,Conan Gray,Pop,Lookalike,kitchen speaker
My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,kitchen speaker
Rockefeller Street,Getter Jaani,Pop,Rockefeller Street,
Men Halati,Farfashah,Pop,Ouf Menuh Qalbi,
Blood,In This Moment,Metalcore,Whore,kitchen speaker
Love Town,Kolohe Kai,Reggae,First True Love,bedroom speaker
Thank You,Meghan Trainor,Pop,Me Too,
Title,Meghan Trainor,Pop,All About That Bass,TV
You Know I Know,Olly Murs,Pop,Moves,kitchen speaker
Cryptic,Billy Watman,Pop,Bohemian Rhapsody,bedroom speaker
The End Is Where We Begin,Thousand Foot Krutch,Rock,Be Somebody,kitchen speaker
If I Know Me,Morgan Wallen,Country,The Way I Talk,TV
Voicenotes,Charlie Puth,Pop,Attention,bedroom speaker
Madness,All That Remains,Rock,The Thunder Rolls,TV
Party Rock Mansion,Redfoo,Pop,New Thang,
Singular Act I,Sabrina Carpenter,Pop,Paris,TV
Ayo,Wizkid,Africa,Ojuelegba,
Mud,Whiskey Myers,Country,Stone,
Ardhito Pramono,Ardhito Pramono,Jazz,The Bitterlove,
The Night We Met,Lord Huron,Rock,The Night We Met,
Sing To Me Instead,Ben Platt,Pop,Ease My Mind,bedroom speaker
Shoft El Ayam,Amr Diab,Middle Eastern,Ana Mosh Anani,bedroom speaker
The African Gentleman,Ric Hassani,Pop,Only You,
Teenage Dream,Katy Perry,Pop,Teenage Dream,
Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,kitchen speaker
Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,kitchen speaker
Lee Brice,Lee Brice,Country,Rumor,
Handwritten,Shawn Mendes,Pop,Stitches,TV
Ancient Future,Protoje,Reggae,Who Knows,
Pure Heroine,Lorde,Electropop,Buzzcut Season,TV
Get Weird,Little Mix,Pop,Love Me Like You,
Wake Up Dreaming,Stephanie Mabey,Pop,The Zombie Song,bedroom speaker
Old Diary,La Min Phyu,Pop,Stage Show,
Confident,Demi Lovato,Pop,Stone Cold,TV
Euphoria,Enrique Iglesias,Pop,Heartbeat,
Always In Between,Jess Glynne,Pop,Thursday,TV
Alkaline Masterpiece,Alkaline,Reggae,Pretty Girl Team,TV
After The Landslide,Matt Simons,Pop,Open Up,TV
Bangarang,Skrillex,Soundtracks,Bangarang,
The Last Stand,Sabaton,Metal,Shiroyama,TV
Peace Of Mind,Rebelution,Reggae,So High,TV
Honky Tonk Time Machine,George Strait,Country,Codigo,bedroom speaker
No More Hollywood Endings,Battle Beast,Metal,Eden,TV
Kuntry,Jawga Boyz,Country,All The Girls Wanna Ride,TV
Double Vision,Prince Royce,Pop,Back It Up,TV
Experiment,Kane Brown,Country,Homesick,bedroom speaker
Pass The Jar,Zac Brown Band,Country,Colder Weather,TV
Meliora,Ghost,Metal,Cirice,kitchen speaker
Love Town,Kolohe Kai,Reggae,First True Love,TV
Ancient Future,Protoje,Reggae,Who Knows,TV
A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,TV
Play Me Again,Kid Francescoli,Pop,Moon,TV
The Martin Garrix Experience,Martin Garrix,Pop,High On Life,bedroom speaker
Raees,Pavni Pandey,South Asia,Laila Main Laila,
Narrated For You,Alec Benjamin,Pop,Let Me Down Slowly,TV
Heroes,Sabaton,Metal,Night Witches,bedroom speaker
Golden Hour,Kacey Musgraves,Country,Butterflies,TV
Last Year Was Complicated,Nick Jonas,Pop,Under You,kitchen speaker
Prequelle,Ghost,Metal,Rats,kitchen speaker
Try Again,Cindy Santos,Latin,Baby Sexy,
The Pains Of Growing,Alessia Cara,Pop,Trust My Lonely,
Rearview Town,Jason Aldean,Country,Girl Like You,bedroom speaker
Experiment,Kane Brown,Country,Homesick,kitchen speaker
Sinner,Aaron Lewis,Country,Lost And Lonely,TV
Night Train,Jason Aldean,Country,When She Says Baby,TV
Glory Days,Little Mix,Pop,No More Sad Songs,TV
Mint,Alice Merton,Pop,Why So Serious,bedroom speaker
Barefoot Blue Jean Night,Jake Owen,Country,Alone With You,kitchen speaker
Elevate,Big Time Rush,Pop,Windows Down,bedroom speaker
Transmissions,Starset,Rock,It Has Begun,TV
This Is Acting,Sia,Pop,Alive,TV
Icarus Falls,Zayn Malik,Pop,Dusk Till Dawn,kitchen speaker
Laps Around The Sun,Chris Lane,Country,Take Back Home Girl,
My Everything,Ariana Grande,Pop,Best Mistake,TV
Happy Endings,Old Dominion,Country,Hotel Key,TV
Got Your Six,Five Finger Death Punch,Metal,I Apologize,TV
Avril Lavigne,Avril Lavigne,Pop,Hello Kitty,
Cannibal,Kesha,Pop,Cannibal,
Yours,Isak Danielson,Pop,Broken,TV
Big A Presents One Chance Riddim,Shenseea,Reggae,Time Up,TV
Euphoria,Enrique Iglesias,Pop,Heartbeat,TV
Unapologetically,Kelsea Ballerini,Country,Miss Me More,TV
Love Always,Shane Filan,Pop,Beautiful In White,
The African Gentleman,Ric Hassani,Pop,Only You,TV
A War You Cannot Win,All That Remains,Metalcore,What If I Was Nothing,bedroom speaker
Safe Haven,Ruth B,Pop,Superficial Love,TV
Your Name,Radwimps,Rock,Dream Lantern,TV
The Beginning,Sammielz,Reggae,Let Us Be,TV
One More Light,Linkin Park,Electropop,Battle Symphony,TV
Sunset Season,Conan Gray,Pop,Generation Why,bedroom speaker
California Sunrise,Jon Pardi,Country,Night Shift,kitchen speaker
The Bright Side,Lenka,Pop,Blue Skies,TV
Different World,Alan Walker,Pop,Alone,TV
Crash My Party,Luke Bryan,Country,Roller Coaster,
Always In Between,Jess Glynne,Pop,All I Am,TV
A Soe Htae Ka A Kaung,Kaung Kaung,Pop,Pyaw Nay Par,TV
Adobe Sessions,Cody Jinks,Country,Cast No Stones,kitchen speaker
Rearview Town,Jason Aldean,Country,Girl Like You,TV
Bollywood Monsoon Special,Meet Bros,South Asia,Cham Cham,TV
Forever,Popcaan,Reggae,Wine For Me,TV
Best Kind Of Mess,Get Scared,Rock,Sarcasm,
Best Kind Of Mess,Get Scared,Rock,Sarcasm,TV
Globalization,Pitbull,Pop,Fireball,
Globalization,Pitbull,Pop,Fireball,TV
Arcadia,Eurielle,Pop,Hate Me,
Cuz I Love You,Lizzo,Pop,Tempo,kitchen speaker
The Princess,Parov Stelar,Pop,All Night,kitchen speaker
Party Never Ends,Inna,Pop,In Your Eyes,TV
Redemption,Joe Bonamassa,Blues,Redemption,bedroom speaker
Pitch Perfect,Anna Kendrick,Soundtracks,Cups,kitchen speaker
Elements,Ludovico Einaudi,Classical,Night,kitchen speaker
Gravity,Jason Chen,Pop,Best Friend,TV
Pure Heroine,Lorde,Electropop,Buzzcut Season,kitchen speaker
Dance Again,Jennifer Lopez,Pop,Dance Again,bedroom speaker
After Laughter,Paramore,Rock,Hard Times,TV
Sucker Punch,Sigrid,Pop,Business Dinners,bedroom speaker
Expectations,Hayley Kiyoko,Pop,What I Need,TV
Redemption,Joe Bonamassa,Blues,Redemption,kitchen speaker
Get Weird,Little Mix,Pop,Love Me Like You,bedroom speaker
One More Light,Linkin Park,Electropop,One More Light,TV
Sucker Punch,Sigrid,Pop,Business Dinners,kitchen speaker
Odisea,Ozuna,Latin,El Farsante,bedroom speaker
Maza Mar Liya Dhori Ke Niche,Shailesh Premi,Country,Lahnga Lasar Ke,bedroom speaker
Sing To Me Instead,Ben Platt,Pop,Bad Habit,TV
The Pains Of Growing,Alessia Cara,Pop,Out Of Love,TV
The Story,Fivefold,Rock,Lost Within,kitchen speaker
Fly,Karolina Protsenko,Pop,Girls Like You,TV
Cuz I Love You,Lizzo,Pop,Tempo,TV
The New Classic,Iggy Azalea,Pop,Bounce,kitchen speaker
The Satanist,Behemoth,Metal,O Father O Satan O Sun,TV
Narrated For You,Alec Benjamin,Pop,If We Have Each Other,TV
Yomonsan,Janob Rasul,Pop,Yomonsan,TV
Sing To Me Instead,Ben Platt,Pop,Grow As We Go,TV
Winter Collection,Sivik,Pop,High,TV
The Shocking Miss Emerald,Caro Emerald,Pop,Tangled Up,TV
Joytime,Marshmello,House,Keep It Mello,TV
Eric Ethridge,Eric Ethridge,Country,If You Met Me First,TV
No Line Signal Likhat Ba,Shashi Lal Yadav,Country,Naya Naya Penhi Salwarba,kitchen speaker
Handwritten,Shawn Mendes,Pop,Stitches,bedroom speaker
Love Yourself,Justin Bieber,Pop,Love Yourself,TV
Joytime,Marshmello,House,Take It Back,kitchen speaker
Every Little Thing,Carly Pearce,Country,Every Little Thing,TV
Stars Dance,Selena Gomez,Pop,Love Will Remember,TV
Bringing Back The Sunshine,Blake Shelton,Country,Sangria,TV
Speak Now,Taylor Swift,Pop,The Story Of Us,TV
Old Diary,La Min Phyu,Pop,Stage Show,kitchen speaker
True Believers,Darius Rucker,Country,Wagon Wheel,TV
Ores Aixmis,Malou Kyriakopoulou,Pop,Tous Eipes Pos,TV
Badlands,Halsey,Electropop,Hurricane,TV
My Dream,Karolina Protsenko,Pop,Despacito,TV
Quarter,Witwisit Hiranyawongkul,Pop,Fortunately I Met You,TV
This Is Acting,Sia,Pop,Move Your Body,TV
Unapologetic,Rihanna,Pop,What Now,TV
Instant Regrets,Instant Regrets,Rock,Instant Regret,TV
Holy Hell,Architects,Metal,Royal Beggars,bedroom speaker
Golden Hour,Kacey Musgraves,Country,Slow Burn,TV
Redneck Crazy,Tyler Farr,Country,Redneck Crazy,TV
The Mountain,Dierks Bentley,Country,Burning Man,TV
Brave Enough,Lindsey Stirling,House,Lost Girls,TV
Lush Life,Zara Larsson,Pop,Lush Life,TV
Pitch Perfect,Anna Kendrick,Soundtracks,Cups,TV
Mahandini,Dewa Budjana,Pop,Hyang Giri,bedroom speaker
Muse Box,Madilyn Bailey,Pop,Titanium,kitchen speaker
Witness,Katy Perry,Electropop,Swish Swish,TV
Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,TV
Blonde,Frank Ocean,Pop,Nights,TV
Mercury Lane,Jimmie Allen,Country,Best Shot,TV
Hold You,Gyptian,Reggae,Hold You,TV
Spectrum,Westlife,Pop,Hello My Love,bedroom speaker
Winter Collection,Sivik,Pop,High,kitchen speaker
Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,TV
Fight Song,Rachel Platten,Pop,Fight Song,TV
Pure Heroine,Lorde,Electropop,Tennis Court,kitchen speaker
The Martin Garrix Experience,Martin Garrix,House,Latency,TV
Cheap Smell,Sharon Kovacs,Pop,Cheap Smell,kitchen speaker
Narrated For You,Alec Benjamin,Pop,The Water Fountain,TV
Slow Air,Still Corners,Pop,The Message,bedroom speaker
Flicker,Niall Horan,Pop,On The Loose,TV
The Hunting Party,Linkin Park,Metal,Final Masquerade,kitchen speaker
Happiness Begins,Jonas Brothers,Pop,Sucker,bedroom speaker
Expectations,Bebe Rexha,Pop,I Got You,TV
Joytime,Marshmello,House,Find Me,TV
Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,TV
Desperate Man,Eric Church,Country,Desperate Man,
Amma Kanakku,Srinisha,South Asia,Maths Tough,bedroom speaker
Elements,Ludovico Einaudi,Classical,Night,bedroom speaker
Melting,Nico Cartosio,Classical,Cocaine March,kitchen speaker
Holo,Limbo,Pop,Airplane Mode,bedroom speaker
Summer Anthems,Common Kings,Reggae,No Other Love,
Summer Anthems,Common Kings,Reggae,No Other Love,bedroom speaker
Journals,Justin Bieber,Pop,All That Matters,bedroom speaker
Count Me In,Rebelution,Reggae,Roots Reggae Music,bedroom speaker
If I Know Me,Morgan Wallen,Country,Whiskey Glasses,kitchen speaker
Dangerous Woman,Ariana Grande,Pop,Let Me Love You,TV
Love Songs From A Lolita,Maty Noyes,Pop,New Friends,TV
The Present Tense,Courier,Pop,San Francisco,TV
Love Crimes,Super Sako,Pop,Mi Gna,TV
Pop Food,Jack Stauber,Pop,Buttercup,TV
Only Love,Jordan Smith,Pop,Only Love,
Awake,Illenium,Dubstep,Free Fall,bedroom speaker
Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,kitchen speaker
Fagun Ke Rang,Awadesh Premi Yadav,Folk,Suna Bhaiya Ke Sali,TV
Happy Endings,Old Dominion,Country,Written In Sand,TV
Transmissions,Starset,Rock,It Has Begun,kitchen speaker
A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Alibi,TV
Good Company,The Dead South,Folk,Banjo Odyssey,bedroom speaker
Good Company,The Dead South,Folk,Banjo Odyssey,TV
Odisea,Ozuna,Latin,El Farsante,kitchen speaker
Borbena,Teodora,Folk,Tom Ford,TV
Blastoff Blues,Ricky T And The Rockets,Blues,Memory Pain,TV
The Beautiful Game,Vulfpeck,Pop,Dean Town,kitchen speaker
Badlands,Halsey,Electropop,Colors,TV
Safe Haven,Ruth B,Pop,Superficial Love,kitchen speaker
Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,bedroom speaker
Happy Endings,Old Dominion,Country,Written In Sand,bedroom speaker
Black Widow,In This Moment,Metalcore,Big Bad Wolf,TV
Hero,Maren Morris,Country,Rich,TV
Wonders,The Piano Guys,Classical,Let It Go,TV
Contraband,Madcon,Pop,Glow,bedroom speaker
Party Rock Mansion,Redfoo,Pop,New Thang,bedroom speaker
Cloud Nine,Kygo,Downtempo,Carry Me,kitchen speaker
Blues Of Desperation,Joe Bonamassa,Blues,Drive,bedroom speaker
Free Spirit,Khalid,Pop,Better,TV
Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,bedroom speaker
Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,TV
Nine Track Mind,Charlie Puth,Pop,Dangerously,TV
Slow Air,Still Corners,Pop,The Message,kitchen speaker
Charice,Jake Zyrus,Pop,Pyramid,
The New Classic,Iggy Azalea,Pop,Black Widow,bedroom speaker
Elevate,Big Time Rush,Pop,Windows Down,TV
Southeastern,Jason Isbell,Alternative Country,Cover Me Up,bedroom speaker
Brave Enough,Lindsey Stirling,House,Lost Girls,bedroom speaker
If I Know Me,Morgan Wallen,Country,Up Down,kitchen speaker
Arcadia,Eurielle,Pop,Hate Me,kitchen speaker
The Martin Garrix Experience,Martin Garrix,House,No Sleep,bedroom speaker
Ultraviolence,Lana Del Rey,Rock,Pretty When You Cry,TV
Handwritten,Shawn Mendes,Pop,Never Be Alone,TV
Borbena,Teodora,Folk,Tom Ford,bedroom speaker
Slow Air,Still Corners,Pop,Black Lagoon,kitchen speaker
Dangerous Woman,Ariana Grande,Pop,Be Alright,TV
