attraction_name,category,free_entry,good_for_kids,location,phone_number
Atlanta Botanical Garden,Park,FALSE,TRUE,Atlanta,404-876-5859
Atlanta History Center,Museum,FALSE,TRUE,Atlanta,404-814-4000
Bodies The Exhibition,Museum,FALSE,TRUE,Atlanta,404-496-4274
CNN Studio Tours,Tourist Attraction,FALSE,TRUE,Atlanta,877-426-6868
Cathedral of Christ the King,Place of Worship,TRUE,TRUE,Atlanta,404-233-2145
Chastain Memorial Park,Park,TRUE,TRUE,Atlanta,404-546-6788
Chick-fil-A College Football Hall of Fame,Museum,FALSE,TRUE,Atlanta,404-880-4800
Children's Museum of Atlanta,Museum,TRUE,TRUE,Atlanta,404-659-5437
Ebenezer Baptist Church,Place of Worship,FALSE,TRUE,Atlanta,404-688-7300
Georgia Aquarium,Nature Preserve,FALSE,TRUE,Atlanta,(404) 581-4000
360 CHICAGO,Tourist Attraction,TRUE,TRUE,Chicago,888-875-8439
American Writers Museum,Museum,FALSE,TRUE,Chicago,312-374-8790
Big Bus Tours Chicago (Tours begin at 98 E. Upper Wacker Dr.),Tourist Attraction,FALSE,TRUE,Chicago,877-285-4796
Burnham Park,Park,TRUE,TRUE,Chicago,312-742-8520
Chicago Children's Museum,Museum,FALSE,TRUE,Chicago,312-527-1000
Chicago Cultural Center,Performing Arts Venue,TRUE,TRUE,Chicago,312-744-6630
Chicago History Museum,Museum,TRUE,TRUE,Chicago,(800) 526-0857
Chicago Riverwalk,Park,TRUE,FALSE,Chicago,877-300-6746
Chicago Water Tower,Tourist Attraction,TRUE,TRUE,Chicago,312-742-0808
DuSable Museum of African American History,Museum,FALSE,TRUE,Chicago,773-947-0600
Garfield Park Conservatory,Park,FALSE,TRUE,Chicago,773-638-1777
Autry Museum of the American West,Museum,TRUE,TRUE,Los Angeles,323-667-2000
Battleship USS Iowa Museum,Museum,FALSE,FALSE,Los Angeles,877-446-9261
California African American Museum,Museum,FALSE,TRUE,Los Angeles,(213) 744-7432
Craft Contemporary,Museum,FALSE,TRUE,Los Angeles,323-937-4230
Discovery Cube Los Angeles,Museum,FALSE,TRUE,Los Angeles,818-686-2823
GRAMMY Museum L.A. LIVE,Museum,FALSE,TRUE,Los Angeles,213-765-6800
Hauser & Wirth,Museum,TRUE,TRUE,Los Angeles,213-988-7413
Japanese American National Museum,Museum,TRUE,TRUE,Los Angeles,213-625-0414
L.A. Louver,Museum,FALSE,TRUE,Los Angeles,310-822-4955
Los Angeles County Museum of Art,Museum,FALSE,TRUE,Los Angeles,(323) 857-0098
High Museum of Art,Museum,TRUE,TRUE,Atlanta,404-733-4200
Jimmy Carter Presidential Library and Museum,Museum,TRUE,TRUE,Atlanta,404-865-7100
Bradbury Building,Historical Landmark,TRUE,TRUE,Los Angeles,213-626-1893
Cabrillo Marine Aquarium,Nature Preserve,TRUE,TRUE,Los Angeles,310-612-1437
Cathedral of Our Lady of the Angels,Place of Worship,FALSE,TRUE,Los Angeles,213-680-5200
Dodger Stadium,Sports Venue,TRUE,TRUE,Los Angeles,866-363-4377
Dolby Theatre,Performing Arts Venue,TRUE,TRUE,Los Angeles,323-308-6300
Exposition Park,Park,TRUE,TRUE,Los Angeles,213-744-7458
Maggie Daley Park ice skating ribbon,Sports Venue,FALSE,TRUE,Chicago,312-552-3000
Wrigley Field,Sports Venue,FALSE,TRUE,Chicago,773-404-2827
92nd Street Y,Performing Arts Venue,FALSE,FALSE,New York,(212) 415-5788
American Folk Art Museum,Museum,FALSE,TRUE,New York,(212) 265-1040
American Museum of Natural History,Museum,TRUE,TRUE,New York,(212) 769-5100
Apollo Theater,Performing Arts Venue,TRUE,TRUE,New York,212-531-5300
Astoria Park,Park,FALSE,TRUE,New York,212-639-9675
Balto Statue,Tourist Attraction,TRUE,FALSE,New York,212-310-6600
Bayonne Bridge,Historical Landmark,TRUE,TRUE,New York,212-435-7000
Bethesda Terrace,Tourist Attraction,TRUE,TRUE,New York,212-310-6600
Bow Bridge,Historical Landmark,FALSE,TRUE,New York,212-310-6600
Bronx Zoo,Nature Preserve,FALSE,TRUE,New York,718-367-1010
Empire State Building,Historical Landmark,FALSE,TRUE,New York,212-736-3100
Goethals Bridge,Historical Landmark,TRUE,TRUE,New York,800-221-9903
Morris-Jumel Mansion,Historical Landmark,TRUE,FALSE,New York,212-923-8008
National Debt Clock,Historical Landmark,FALSE,FALSE,New York,212-257-6600
Robert F. Kennedy Bridge,Historical Landmark,TRUE,TRUE,New York,212-870-6425
Rockefeller Center,Historical Landmark,FALSE,TRUE,New York,212-332-6868
Statue of Liberty National Monument,Historical Landmark,FALSE,FALSE,New York,212-363-3200
The Little Red Lighthouse,Historical Landmark,TRUE,TRUE,New York,212-628-2345
Chihuly Garden and Glass,Museum,TRUE,TRUE,Seattle,206-753-4940
Museum of History & Industry (MOHAI),Museum,TRUE,TRUE,Seattle,206-324-1126
Pacific Science Center,Museum,TRUE,TRUE,Seattle,206-443-3643
Seattle Children's Museum,Museum,TRUE,TRUE,Seattle,206-441-1768
Holy Name Cathedral Parish,Place of Worship,TRUE,TRUE,Chicago,312-573-4467
International Museum of Surgical Science,Museum,TRUE,FALSE,Chicago,312-642-6502
Lincoln Park Conservatory,Park,TRUE,TRUE,Chicago,312-742-7736
Maggie Daley Park,Park,TRUE,TRUE,Chicago,312-552-3000
Margaret Mitchell House,Museum,FALSE,TRUE,Atlanta,404-249-7015
World of Coca-Cola,Museum,FALSE,TRUE,Atlanta,404-676-5151
3D Toronto sign,Tourist Attraction,FALSE,TRUE,Toronto,416-392-2489
Aga Khan Museum,Museum,FALSE,TRUE,Toronto,416-646-4677
Allan Gardens,Park,FALSE,TRUE,Toronto,416-392-7288
Art Gallery of Ontario,Museum,FALSE,FALSE,Toronto,877-225-4246
BAPS Shri Swaminarayan Mandir,Place of Worship,TRUE,TRUE,Toronto,416-798-2277
Black Creek Pioneer Village,Museum,TRUE,TRUE,Toronto,416-736-1733
Brookfield Place,Shopping Area,FALSE,FALSE,Toronto,416-777-6480
Casa Loma,Museum,TRUE,TRUE,Toronto,416-923-1171
Centennial Park,Park,TRUE,TRUE,Toronto,416-394-8750
Centreville Amusement Park,Theme Park,FALSE,TRUE,Toronto,416-203-0405
Hole in the Rock,Historical Landmark,TRUE,TRUE,Phoenix,602-495-5458
Balboa Park,Park,FALSE,TRUE,San Diego,619-239-0512
Balboa Theatre,Performing Arts Venue,TRUE,TRUE,San Diego,619-570-1100
Belmont Park,Theme Park,FALSE,FALSE,San Diego,858-228-9283
Birch Aquarium at Scripps Institution of Oceanography,Nature Preserve,TRUE,TRUE,San Diego,858-534-3474
Cabrillo National Monument,Park,TRUE,TRUE,San Diego,619-557-5450
Coronado Bridge,Historical Landmark,TRUE,TRUE,San Diego,619-688-6699
Fleet Science Center,Museum,TRUE,TRUE,San Diego,619-238-1233
Japanese Friendship Garden,Park,FALSE,FALSE,San Diego,619-232-2721
Journey to Atlantis,Theme Park,TRUE,TRUE,San Diego,619-222-4732
La Jolla Shores Park,Park,TRUE,TRUE,San Diego,619-221-8899
Alcatraz,Historical Landmark,FALSE,FALSE,San Francisco,415-561-4900
Alcatraz Island,Historical Landmark,FALSE,TRUE,San Francisco,415-561-4900
Aquarium of the Bay,Nature Preserve,TRUE,TRUE,San Francisco,415-623-5300
Cable Car Museum,Museum,FALSE,TRUE,San Francisco,415-474-1887
California Academy of Sciences,Museum,FALSE,FALSE,San Francisco,415-379-8000
Cartoon Art Museum,Museum,FALSE,FALSE,San Francisco,415-227-8666
Children's Creativity Museum,Museum,FALSE,TRUE,San Francisco,415-820-3320
Chinatown San Francisco,Tourist Attraction,FALSE,TRUE,San Francisco,888-212-3203
Coit Tower,Historical Landmark,TRUE,TRUE,San Francisco,415-249-0995
Contemporary Jewish Museum,Museum,TRUE,TRUE,San Francisco,415-655-7800
Oracle Park,Sports Venue,TRUE,TRUE,San Francisco,415-972-2000
Angels Flight Railway,Historical Landmark,FALSE,FALSE,Los Angeles,213-626-1901
Adventure Island,Theme Park,FALSE,TRUE,Delhi,83770 02902
Akshardham,Place of Worship,TRUE,TRUE,Delhi,11 4344 2344
Fun N Food Village,Theme Park,TRUE,TRUE,Delhi,99900 06518
Gandhi Smriti,Museum,FALSE,FALSE,Delhi,11 2301 2843
Humayun's Tomb,Historical Landmark,TRUE,TRUE,Delhi,11 2435 5275
India Gate,Historical Landmark,TRUE,TRUE,Delhi,11 2336 5358
Jama Masjid,Place of Worship,FALSE,TRUE,Delhi,11 2326 8344
Just Chill Water Park,Theme Park,TRUE,FALSE,Delhi,99104 99774
Kashmiri Gate,Historical Landmark,FALSE,FALSE,Delhi,11 2397 9261
Khan Market,Shopping Area,FALSE,TRUE,Delhi,85275 33160
Acuario Inbursa,Nature Preserve,FALSE,TRUE,Mexico City,55 5395 4586
Arte Carrillo Gil Museum,Museum,FALSE,TRUE,Mexico City,55 8647 5450
Bosque de Chapultepec,Park,FALSE,TRUE,Mexico City,55 5271 1939
Casa Lamm Cultural Center,Performing Arts Venue,TRUE,FALSE,Mexico City,55 5525 3938
Casa del Lago Juan Jose Arreola,Performing Arts Venue,TRUE,TRUE,Mexico City,55 5211 6093
Central de Abastos Iztapalapa,Shopping Area,FALSE,TRUE,Mexico City,55 5600 6248
Centro Cultural de Espana,Performing Arts Venue,TRUE,TRUE,Mexico City,55 5521 1925
Centro Deportivo Chapultepec,Sports Venue,TRUE,FALSE,Mexico City,55 5254 3232
Coyoacan Market,Shopping Area,FALSE,TRUE,Mexico City,55 4072 1596
Diana the Huntress Fountain,Historical Landmark,TRUE,TRUE,Mexico City,800 008 9090
Bloedel Conservatory,Park,TRUE,FALSE,Vancouver,604-257-8584
Dr. Sun Yat-Sen Classical Chinese Garden,Park,TRUE,TRUE,Vancouver,604-662-3207
"Queen Elizabeth Park, British Columbia",Park,FALSE,FALSE,Vancouver,604-873-7000
Stanley Park,Park,FALSE,TRUE,Vancouver,604-681-6728
VanDusen Botanical Garden,Park,FALSE,TRUE,Vancouver,604-257-8335
Estanquillo Museum,Museum,FALSE,TRUE,Mexico City,55 5521 3052
Former College of San Ildefonso,Museum,FALSE,TRUE,Mexico City,55 3602 0000
Frida Kahlo Museum,Museum,FALSE,TRUE,Mexico City,55 5658 3256
Leon Trotsky House Museum,Museum,TRUE,TRUE,Mexico City,55 5658 8732
Luis Barragan House and Studio,Museum,FALSE,TRUE,Mexico City,55 5272 4945
Memory and Tolerance Museum,Museum,TRUE,TRUE,Mexico City,55 5130 5555
Museo Anahuacalli,Museum,FALSE,TRUE,Mexico City,55 5617 3797
Museo Casa Estudio Diego Rivera and Frida Kahlo,Museum,FALSE,TRUE,Mexico City,55 8647 5470
Museo Franz Mayer,Museum,TRUE,TRUE,Mexico City,55 5518 2266
Brandon Lee and Bruce Lee's Grave Site,Tourist Attraction,FALSE,TRUE,Seattle,206-322-1582
Burke Museum of Natural History and Culture,Museum,FALSE,TRUE,Seattle,206-543-7907
Columbia Center,Shopping Area,TRUE,TRUE,Seattle,206-386-5151
Fremont Troll,Historical Landmark,FALSE,FALSE,Seattle,206-684-2489
Frye Art Museum,Museum,TRUE,FALSE,Seattle,206-223-1707
Gas Works Park,Park,TRUE,TRUE,Seattle,206-684-4075
Golden Gardens Park,Park,FALSE,TRUE,Seattle,206-684-4075
Kerry Park,Park,FALSE,TRUE,Seattle,206-684-4075
Navy Pier,Tourist Attraction,TRUE,TRUE,Chicago,312-595-7437
Oaks Amusement Park,Theme Park,FALSE,TRUE,Portland,503-233-5777
Art Gallery of New South Wales,Museum,TRUE,TRUE,Sydney,2 9225 1700
Australian National Maritime Museum,Museum,FALSE,TRUE,Sydney,2 9298 3777
Hyde Park Barracks Museum,Museum,TRUE,TRUE,Sydney,2 8239 2288
Museum of Contemporary Art Australia,Museum,FALSE,FALSE,Sydney,2 9245 2400
Museum of Sydney,Museum,TRUE,FALSE,Sydney,2 9251 5988
Powerhouse Museum,Museum,FALSE,FALSE,Sydney,2 9217 0111
Sydney Jewish Museum,Museum,TRUE,TRUE,Sydney,2 9360 7999
Vaucluse House,Museum,FALSE,TRUE,Sydney,2 9388 7922
White Rabbit Gallery,Museum,TRUE,TRUE,Sydney,2 8399 2867
Strawberry Fields,Tourist Attraction,TRUE,TRUE,New York,212-639-9675
The Bowery Ballroom,Tourist Attraction,TRUE,TRUE,New York,212-260-4700
The Mercury Lounge,Tourist Attraction,TRUE,TRUE,New York,646-921-7680
The Tour at NBC Studios,Tourist Attraction,TRUE,TRUE,New York,212-664-3700
Yankee Stadium Tours,Tourist Attraction,TRUE,FALSE,New York,646-977-8687
Lodhi Garden,Park,FALSE,TRUE,Delhi,11 2464 0079
The Garden of Five Senses,Park,FALSE,FALSE,Delhi,11 2953 6401
30 St Mary Axe (The Gherkin),Historical Landmark,TRUE,TRUE,London,20 7071 5029
ArcelorMittal Orbit,Historical Landmark,TRUE,TRUE,London,333 800 8099
Guildhall,Historical Landmark,TRUE,TRUE,London,20 7606 3030
London Wall,Historical Landmark,TRUE,FALSE,London,370 333 1181
Millennium Bridge,Historical Landmark,FALSE,FALSE,London,20 7606 3030
Monument to the Great Fire of London,Historical Landmark,FALSE,TRUE,London,20 7403 3761
Old Royal Naval College,Historical Landmark,FALSE,TRUE,London,20 8269 4799
The London Dungeon,Historical Landmark,TRUE,FALSE,London,20 7654 0809
The Shard,Historical Landmark,FALSE,FALSE,London,844 499 7111
Two Temple Place,Historical Landmark,FALSE,TRUE,London,20 7836 3715
Arizona Capitol Museum,Museum,FALSE,FALSE,Phoenix,602-926-3620
Arizona Science Center,Museum,FALSE,TRUE,Phoenix,602-716-2000
Castles N' Coasters,Theme Park,TRUE,TRUE,Phoenix,602-997-7575
Children's Museum of Phoenix,Museum,FALSE,TRUE,Phoenix,602-253-0501
Desert Botanical Garden,Park,TRUE,TRUE,Phoenix,480-941-1225
Dream City Church * Phoenix,Place of Worship,FALSE,FALSE,Phoenix,602-867-7117
Encanto Park,Park,TRUE,TRUE,Phoenix,602-261-8991
Heard Museum,Museum,FALSE,TRUE,Phoenix,(602) 251-0223
Hurricane Harbor Phoenix,Theme Park,FALSE,FALSE,Phoenix,623-201-2000
American Church in Paris,Place of Worship,TRUE,TRUE,Paris,1 40 62 05 00
Aquaboulevard,Theme Park,TRUE,TRUE,Paris,1 40 60 10 00
Bagatelle park,Park,TRUE,TRUE,Paris,1 53 64 53 80
Bois de Vincennes,Park,TRUE,TRUE,Paris,1 49 57 15 15
Catacombs of Paris,Historical Landmark,TRUE,TRUE,Paris,1 43 22 47 63
Cathedrale Notre-Dame de Paris,Place of Worship,TRUE,FALSE,Paris,1 42 34 56 10
Cent Quatre,Performing Arts Venue,TRUE,TRUE,Paris,1 53 35 50 00
Chapelle expiatoire,Historical Landmark,TRUE,TRUE,Paris,1 42 65 35 80
City of Fashion and Design,Performing Arts Venue,TRUE,FALSE,Paris,1 76 77 25 30
Cite de l'architecture et du patrimoine,Museum,TRUE,TRUE,Paris,1 58 51 52 00
Gardiner Museum,Museum,TRUE,TRUE,Toronto,416-586-8080
Hockey Hall of Fame,Museum,TRUE,TRUE,Toronto,416-360-7765
Museum of Contemporary Art Toronto Canada,Museum,TRUE,TRUE,Toronto,416-530-2500
Royal Ontario Museum,Museum,TRUE,TRUE,Toronto,416-586-8000
SkyJump,Theme Park,FALSE,TRUE,Las Vegas,702-380-7777
Smith Tower,Historical Landmark,FALSE,FALSE,Seattle,206-624-0414
Ripley's Aquarium of Canada,Nature Preserve,FALSE,TRUE,Toronto,647-351-3474
Toronto Zoo,Nature Preserve,FALSE,TRUE,Toronto,416-392-5900
Crystal Springs Rhododendron Garden,Park,TRUE,TRUE,Portland,503-771-8386
Lan Su Chinese Garden,Park,TRUE,TRUE,Portland,503-228-8131
OMSI,Museum,TRUE,FALSE,Portland,(503) 797-4000
Oregon Zoo,Nature Preserve,TRUE,TRUE,Portland,503-226-1561
Pittock Mansion,Museum,TRUE,TRUE,Portland,503-823-3623
Portland Art Museum,Museum,FALSE,FALSE,Portland,503-276-4249
Portland Children's Museum,Museum,TRUE,TRUE,Portland,503-223-6500
Portland Japanese Garden,Tourist Attraction,FALSE,TRUE,Portland,503-223-1321
Portland Saturday Market,Shopping Area,FALSE,TRUE,Portland,971-865-0382
Arab World Institute,Performing Arts Venue,FALSE,FALSE,Paris,1 40 51 38 38
Arc de Triomphe,Historical Landmark,FALSE,TRUE,Paris,1 55 37 73 77
Arenes de Lutece,Historical Landmark,FALSE,TRUE,Paris,1 45 35 02 56
Bois de Boulogne,Park,FALSE,TRUE,Paris,1 53 92 82 82
Carreau du Temple,Performing Arts Venue,FALSE,TRUE,Paris,1 83 81 93 30
Crissy Field,Tourist Attraction,TRUE,TRUE,San Francisco,415-561-4323
Exploratorium,Museum,TRUE,TRUE,San Francisco,415-528-4444
Ferry Plaza Farmers Market,Shopping Area,TRUE,TRUE,San Francisco,415-291-3276
ANZ Stadium,Sports Venue,FALSE,TRUE,Sydney,2 8765 2000
Barangaroo Reserve,Park,FALSE,TRUE,Sydney,2 9255 1700
Bella Vista Farm,Park,TRUE,TRUE,Sydney,2 9843 0555
"Bicentennial Park, Homebush Bay",Park,FALSE,TRUE,Sydney,2 9714 7888
Blaxland Riverside Park,Park,TRUE,TRUE,Sydney,2 9714 7888
Bondi Markets,Shopping Area,TRUE,TRUE,Sydney,2 9315 7011
Bondi to Bronte Coastal Walk,Tourist Attraction,TRUE,TRUE,Sydney,406 333 665
Bondi to Coogee walk,Tourist Attraction,TRUE,TRUE,Sydney,406 333 665
DISCOVERY Children's Museum,Museum,TRUE,TRUE,Las Vegas,702-382-5437
Las Vegas Natural History Museum,Museum,FALSE,TRUE,Las Vegas,702-384-3466
The Mob Museum,Museum,FALSE,TRUE,Las Vegas,702-229-2734
National Center for Civil and Human Rights,Museum,FALSE,FALSE,Atlanta,678-999-8990
Alexandra Palace,Performing Arts Venue,FALSE,TRUE,London,20 8365 2121
Alexandra Palace Ice Rink,Sports Venue,TRUE,TRUE,London,20 8365 2121
All England Lawn Tennis & Croquet Club,Sports Venue,FALSE,TRUE,London,20 8944 1066
"All Saints, Margaret Street",Place of Worship,TRUE,TRUE,London,20 7636 1788
All Souls Langham Place,Place of Worship,FALSE,TRUE,London,20 7580 3522
Apsley House,Museum,TRUE,TRUE,London,1793 414926
BAPS Shri Swaminarayan Mandir London,Place of Worship,FALSE,TRUE,London,20 8965 2651
BODY WORLDS London,Museum,TRUE,TRUE,London,330 223 3233
Museum Of Contemporary Art Chicago,Museum,TRUE,TRUE,Chicago,312-280-2660
"Museum of Science and Industry, Chicago",Museum,TRUE,TRUE,Chicago,(773) 684-1414
Museum of Death,Museum,TRUE,TRUE,Los Angeles,323-466-8011
Museum of Selfies,Museum,TRUE,TRUE,Los Angeles,737-471-5566
Museum of Tolerance,Museum,TRUE,TRUE,Los Angeles,310-772-2505
Petersen Automotive Museum,Museum,TRUE,TRUE,Los Angeles,323-930-2277
The Annenberg Space for Photography,Museum,TRUE,TRUE,Los Angeles,213-403-3000
The Museum of Jurassic Technology,Museum,TRUE,TRUE,Los Angeles,310-836-6131
Fort Point National Historic Site,Historical Landmark,FALSE,TRUE,San Francisco,415-504-2334
Golden Gate Bridge,Historical Landmark,FALSE,TRUE,San Francisco,415-921-5858
Sutro Baths,Historical Landmark,FALSE,TRUE,San Francisco,415-426-5240
The Painted Ladies,Historical Landmark,TRUE,TRUE,San Francisco,415-831-2700
The San Francisco Mint,Historical Landmark,FALSE,TRUE,San Francisco,415-890-2357
The Fox Theatre,Performing Arts Venue,FALSE,FALSE,Atlanta,800-651-2316
La Merced Market,Shopping Area,TRUE,TRUE,Mexico City,55 5522 7250
Mercado Jamaica,Shopping Area,TRUE,TRUE,Mexico City,55 5741 0002
Mercado de Sonora,Shopping Area,FALSE,TRUE,Mexico City,55 1484 6971
Interactive Museum of Economics,Museum,TRUE,FALSE,Mexico City,55 5130 4600
Museum of Pop Culture,Museum,FALSE,TRUE,Seattle,206-770-2702
Nordic Museum,Museum,TRUE,FALSE,Seattle,206-789-5707
Seattle Art Museum,Museum,FALSE,TRUE,Seattle,206-654-3100
Seattle Pinball Museum,Museum,FALSE,TRUE,Seattle,206-623-0759
Brookfield Place,Shopping Area,FALSE,TRUE,New York,212-978-1673
Brooklyn Botanic Garden,Park,FALSE,TRUE,New York,718-623-7200
Hollywood Walk of Fame,Tourist Attraction,TRUE,TRUE,Los Angeles,323-469-8311
Hollywood Wax Museum(r),Tourist Attraction,TRUE,TRUE,Los Angeles,323-462-5991
Vancouver Aquarium,Nature Preserve,TRUE,TRUE,Vancouver,604-659-3502
Featherdale Wildlife Park,Nature Preserve,TRUE,TRUE,Sydney,2 9622 1644
Gordons Bay,Nature Preserve,FALSE,TRUE,Sydney,1300 722 542
Koala Park Sanctuary Sydney,Nature Preserve,FALSE,TRUE,Sydney,2 9484 3141
Lane Cove National Park,Nature Preserve,FALSE,TRUE,Sydney,2 8448 0400
SEA LIFE Sydney Aquarium,Nature Preserve,TRUE,FALSE,Sydney,1800 199 657
Sydney Zoo,Nature Preserve,TRUE,TRUE,Sydney,1800 843 966
Wilson Parking Domain Car Park,Nature Preserve,TRUE,TRUE,Sydney,1800 727 546
King Jr Martin Luther- Birth Home,Historical Landmark,TRUE,TRUE,Atlanta,404-331-5190
Mission Escape Atlanta,Tourist Attraction,TRUE,TRUE,Atlanta,678-369-0050
Zoo Atlanta,Nature Preserve,TRUE,TRUE,Atlanta,404-624-5600
Brooklyn Children's Museum,Museum,TRUE,TRUE,New York,718-735-4400
Brooklyn Museum,Museum,TRUE,TRUE,New York,(718) 638-5000
Children's Museum Of Manhattan,Museum,TRUE,TRUE,New York,212-721-1223
Cooper Hewitt Smithsonian Design Museum,Museum,TRUE,TRUE,New York,212-849-8400
David Zwirner,Museum,TRUE,TRUE,New York,(212) 727-2072
El Museo del Barrio,Museum,TRUE,TRUE,New York,917-634-0340
Ellis Island National Museum of Immigration,Museum,TRUE,TRUE,New York,832-960-0009
"Intrepid Sea, Air & Space Museum",Museum,TRUE,TRUE,New York,(212) 245-0072
Museum of Sex,Museum,TRUE,TRUE,New York,212-689-6337
Art Museum Steps,Tourist Attraction,TRUE,TRUE,Philadelphia,215-763-8100
Bartram's Garden,Park,TRUE,TRUE,Philadelphia,215-729-5281
Ben Franklin Bridge,Historical Landmark,TRUE,TRUE,Philadelphia,856-968-3300
Benjamin Franklin Museum,Museum,TRUE,TRUE,Philadelphia,267-514-1522
Cathedral Basilica of Saints Peter and Paul,Place of Worship,TRUE,TRUE,Philadelphia,267-250-0074
Independence National Historical Park,Nature Preserve,TRUE,TRUE,Philadelphia,215-965-2305
Independence Seaport Museum,Museum,TRUE,TRUE,Philadelphia,215-413-8655
Liberty Bell,Historical Landmark,TRUE,TRUE,Philadelphia,215-965-2305
National Constitution Center,Museum,TRUE,TRUE,Philadelphia,215-409-6700
National Museum of American Jewish History,Museum,TRUE,TRUE,Philadelphia,215-923-3811
Steele Indian School Park,Nature Preserve,TRUE,TRUE,Phoenix,602-495-0935
Piedmont Park,Park,FALSE,TRUE,Atlanta,404-875-7275
Hollyhock House,Historical Landmark,TRUE,FALSE,Los Angeles,323-988-0516
Hollywood Sign,Historical Landmark,FALSE,TRUE,Los Angeles,323-258-4338
Korean Friendship Bell,Historical Landmark,FALSE,TRUE,Los Angeles,310-548-7705
"Public Art ""Urban Light""",Historical Landmark,TRUE,TRUE,Los Angeles,323-857-6010
The San Francisco Dungeon,Tourist Attraction,TRUE,TRUE,San Francisco,415-722-4418
Federal Hall,Museum,FALSE,TRUE,New York,212-825-6990
Olympic Sculpture Park,Park,FALSE,TRUE,Seattle,206-654-3100
Seattle Japanese Garden,Park,FALSE,TRUE,Seattle,206-684-4725
Volunteer Park Conservatory,Park,TRUE,TRUE,Seattle,206-322-4112
Washington Park Arboretum UW Botanic Gardens,Park,FALSE,TRUE,Seattle,206-543-8800
Legion of Honor,Museum,TRUE,TRUE,San Francisco,415-750-3600
Museum Of 3D Illusions,Museum,FALSE,TRUE,San Francisco,888-386-5585
Museum of the African Diaspora,Museum,FALSE,TRUE,San Francisco,415-358-7252
Randall Museum,Museum,FALSE,TRUE,San Francisco,415-554-9600
San Francisco Museum of Modern Art,Museum,FALSE,TRUE,San Francisco,415-357-4000
The Walt Disney Family Museum,Museum,FALSE,TRUE,San Francisco,415-345-6800
